Municipio,idx_vulnerabilidad,idx_gobernanza,idx_biodiv,idx_clima,idx_carga_enfermedad,brecha
Barrinha,49.79227867499704,0.186,38.39029564201212,55.3856879242059,6.439055437094775,31.19227867499704
Serrana,34.76057848063895,0.106,44.85005235959659,56.897107539073794,6.044728520401369,24.160578480638947
Jaci,41.91859899719849,0.18,40.70611087961148,47.82064963649703,21.005400574705316,23.918598997198487
Jardinópolis,51.67020437572914,0.286,41.625417169394666,52.28447878851401,8.071183225023814,23.070204375729144
Cruzeiro,51.26529841461341,0.286,64.03891663023478,62.0172747282065,2.238403995485449,22.665298414613414
Igaraçu do Tietê,34.637612075101615,0.13,41.31944924019836,55.17296960803931,4.698735113674392,21.637612075101615
Américo Brasiliense,51.6048533279894,0.316,44.921994445329766,58.20700453862597,11.407475619977248,20.0048533279894
Aparecida,48.13780889325497,0.286,61.9650360706099,58.14729413408798,4.863261643049252,19.537808893254972
Araçariguama,41.836340258358405,0.254,72.96019646231244,46.6754326622265,5.741357305802486,16.436340258358406
Cosmorama,37.86849337655122,0.216,40.8681447428153,30.724893839347253,12.46457671294193,16.26849337655122
Cajamar,50.55321952935959,0.37,60.46682544458642,56.24402498943952,4.648072094062512,13.553219529359588
Nipoã,35.12872627608157,0.22,41.23802433860612,43.77654016318727,13.085291149873772,13.128726276081572
Elias Fausto,37.73590428837923,0.25,52.90088993802648,49.12355924828413,12.131471457212466,12.735904288379231
Iporanga,36.31413034834229,0.246,85.87584742868845,21.927526496492018,9.833534590294276,11.714130348342287
Capela do Alto,37.52190561042494,0.27,58.222615310111536,37.40912425798706,2.466517842378047,10.521905610424938
Francisco Morato,53.548003374511474,0.4359999999999999,62.55692626402896,92.94003868471953,2.67978687349424,9.948003374511487
Severínia,36.51429177845597,0.2699999999999999,37.68994595155494,58.13236653295347,8.633026166539393,9.51429177845598
São Pedro,38.35024696451726,0.3,55.43572535552868,61.725186833220576,6.350046127258115,8.350246964517261
Charqueada,36.23375908680105,0.296,54.12061532750983,55.21282630306841,5.178780031480375,6.633759086801053
Nova Campina,38.974257927619945,0.346,59.10111728623069,38.36707129993998,0.1575983513633542,4.374257927619951
