"cod_ibge","Y2014","Y2015","Y2016"
"351300",986,3680,731
"351310",157,207,344
"351320",4,2,48
"351330",7,137,3
"351340",252,393,328
"351350",649,1120,474
"351360",0,15,8
"351370",172,1631,254
"351380",1481,6953,2222
"351385",16,65,73
"351390",4,17,21
"351400",23,113,127
"351410",154,627,78
"351420",8,256,128
"351430",92,97,48
"351440",180,1421,199
"351450",29,150,16
"351460",60,276,386
"351470",18,81,9
"351480",9,7,18
"351490",82,1092,40
"351492",11,223,24
"351495",2,123,16
"351500",784,2643,771
