"cod","tot_2014","tot_2015","tot_2016","conf_2014","conf_2015","conf_2016"
"351300",986,3680,731,932,3429,726
"351310",157,207,344,138,192,284
"351320",4,2,48,1,0,43
"351330",7,137,3,4,133,1
"351340",252,393,328,233,374,276
"351350",649,1120,474,201,511,238
"351360",0,15,8,0,1,4
"351370",172,1631,254,71,1611,241
"351380",1481,6953,2222,1049,5720,2149
"351385",16,65,73,12,64,61
"351390",4,17,21,2,17,21
"351400",23,113,127,12,45,82
"351410",154,627,78,154,626,78
"351420",8,256,128,6,230,116
"351430",92,97,48,89,91,47
"351440",180,1421,199,166,1359,186
"351450",29,150,16,29,150,16
"351460",60,276,386,37,204,322
"351470",18,81,9,14,24,8
"351480",9,7,18,4,3,12
"351490",82,1092,40,74,854,37
"351492",11,223,24,8,155,12
"351495",2,123,16,1,115,14
"351500",784,2643,771,396,1542,451
