Variable_1,Variable_2,r_spearman,p_value,significativo
forest_cover,fire_risk_index,-0.1488,0.000149,***
forest_cover,fire_incidence_mean,-0.0609,0.122328,ns
forest_cover,mort_circ_rate,-0.0242,0.538822,ns
forest_cover,hosp_circ_rate,-0.3993,0.0,***
forest_cover,mort_resp_rate,-0.1956,1e-06,***
mean_species_richness,fire_risk_index,-0.0371,0.346284,ns
mean_species_richness,fire_incidence_mean,0.0615,0.118451,ns
mean_species_richness,mort_circ_rate,-0.1776,6e-06,***
mean_species_richness,hosp_circ_rate,-0.4883,0.0,***
mean_species_richness,mort_resp_rate,-0.2739,0.0,***
idx_biodiv,fire_risk_index,-0.0371,0.346284,ns
idx_biodiv,fire_incidence_mean,0.0615,0.118451,ns
idx_biodiv,mort_circ_rate,-0.1776,6e-06,***
idx_biodiv,hosp_circ_rate,-0.4883,0.0,***
idx_biodiv,mort_resp_rate,-0.2739,0.0,***
fire_risk_index,mort_circ_rate,-0.1445,0.000231,***
fire_risk_index,hosp_circ_rate,-0.0231,0.557563,ns
fire_risk_index,mort_resp_rate,0.0743,0.059287,ns
fire_incidence_mean,mort_circ_rate,-0.1403,0.000351,***
fire_incidence_mean,hosp_circ_rate,-0.088,0.025351,*
fire_incidence_mean,mort_resp_rate,0.0688,0.080776,ns
