lval,op,rval,Estimate,Std. Err,z-value,p-value
forest_cover_z,~,UAI_Crisk_z,0.11798152144403201,0.04192517191946013,2.8140974989408503,0.004891439024146127
forest_cover_z,~,pct_rural_z,0.432092739688999,0.03966512043425805,10.893518914035988,0.0
forest_cover_z,~,log_pop_z,0.34551482340687567,0.04620143983733565,7.4784427631665435,7.527312106958561e-14
fire_incidence_mean_z,~,UAI_Crisk_z,0.08728178739445366,0.04079294182967348,2.1396296387926546,0.0323847093888594
fire_incidence_mean_z,~,forest_cover_z,-0.11192629725910935,0.0411296794214316,-2.7213024470612868,0.006502523821499295
fire_incidence_mean_z,~,pct_rural_z,-0.1608843074443851,0.04112356982030918,-3.9122164769124437,9.145287634870769e-05
fire_risk_index_z,~,fire_incidence_mean_z,0.7979676404254911,0.02295455440906683,34.76293314914179,0.0
fire_risk_index_z,~,forest_cover_z,-0.13951684771175096,0.02317472685343983,-6.020215409141802,1.7418511077949006e-09
fire_risk_index_z,~,pct_rural_z,0.023212166763198726,0.02347750251037229,0.9886982975278126,0.3228107760270338
mort_circ_rate_z,~,fire_risk_index_z,-0.1436455771164707,0.06619167067713426,-2.1701458150975865,0.029995801367542763
mort_circ_rate_z,~,fire_incidence_mean_z,0.09443376822070026,0.06513680292032231,1.4497759175372067,0.14712101726107774
mort_circ_rate_z,~,forest_cover_z,0.09753859114155214,0.04070505969442242,2.3962276894172216,0.01656479684196821
mort_circ_rate_z,~,idx_vulnerabilidad_z,-0.33320284517157084,0.06066549417107332,-5.492460742616962,3.9637167770223414e-08
mort_circ_rate_z,~,pct_pobreza_z,0.4457800633324937,0.061120661653838636,7.293443023406855,3.022027073029676e-13
fire_incidence_mean_z,~~,fire_incidence_mean_z,0.9431744245383564,0.05252029493600686,17.95828499572604,0.0
fire_risk_index_z,~~,fire_risk_index_z,0.32282047109292233,0.017976130302175583,17.95828499506895,0.0
forest_cover_z,~~,forest_cover_z,0.7954419874243996,0.044293872582964584,17.95828499566254,0.0
mort_circ_rate_z,~~,mort_circ_rate_z,0.9129857143347413,0.05083924854375808,17.958284995714738,0.0
