Variable_Biodiv,Variable_Riesgo,r_Baja,p_Baja,r_Media,p_Media,r_Alta,p_Alta,H2_Confirmada
Indice Biodiversidad,Riesgo Total,0.09342775725083918,0.17227785539143306,0.22813398053563239,0.0007512658420943428,0.057669830230143215,0.4001369358479647,False
Indice Biodiversidad,Riesgo Salud,0.07335757031648608,0.2842566399670857,0.16063661081075656,0.018423684215617582,0.051342466118157806,0.45389711213513706,False
Indice Biodiversidad,Riesgo Clima,0.13986187752033216,0.040471495939429177,0.3269461107543176,9.515877259446328e-07,0.3265869143168081,9.795947976694074e-07,False
Indice Biodiversidad,Riesgo Nutricion,-0.49429909388634374,1.2008566331925125e-14,-0.4940329067499582,1.2468563833310408e-14,-0.7430169081810195,5.2248389316247264e-39,False
Riqueza Especies (Media),Riesgo Total,0.09342775725083918,0.17227785539143306,0.22813398053563239,0.0007512658420943428,0.057669830230143215,0.4001369358479647,False
Riqueza Especies (Media),Riesgo Salud,0.07335757031648608,0.2842566399670857,0.16063661081075656,0.018423684215617582,0.051342466118157806,0.45389711213513706,False
Riqueza Especies (Media),Riesgo Clima,0.13986187752033216,0.040471495939429177,0.3269461107543176,9.515877259446328e-07,0.3265869143168081,9.795947976694074e-07,False
Riqueza Especies (Media),Riesgo Nutricion,-0.49429909388634374,1.2008566331925125e-14,-0.4940329067499582,1.2468563833310408e-14,-0.7430169081810195,5.2248389316247264e-39,False
Riqueza Especies (Max),Riesgo Total,0.198888089678094,0.0034050847447715986,0.3729029484739784,1.693243044628424e-08,0.07997833592826951,0.24290850904044703,False
Riqueza Especies (Max),Riesgo Salud,0.16273913626393668,0.01692853219452304,0.3662960345122319,3.145210959639176e-08,0.09840417710131226,0.15044273776931316,False
Riqueza Especies (Max),Riesgo Clima,0.21713358866686913,0.0013574429776406593,0.44411765755941546,8.321967420704859e-12,0.3165250453258704,2.174835496323309e-06,False
Riqueza Especies (Max),Riesgo Nutricion,-0.4871901704476486,3.240850076272688e-14,-0.5830941022770604,5.612839811598905e-21,-0.7108863916445513,2.115137789005302e-34,False
Cobertura Forestal,Riesgo Total,0.20134693801484482,0.0030214584252150514,0.13097847156750508,0.055162436745643195,0.023311036624428003,0.7339615849516952,False
Cobertura Forestal,Riesgo Salud,0.17056654857727802,0.01225209887862144,0.26600039251421026,7.848670706317813e-05,0.13160015666509048,0.05400752679980954,False
Cobertura Forestal,Riesgo Clima,0.22637866193629333,0.0008272140974027036,0.23215015659543198,0.0006010465334680184,0.2395120989312384,0.00039533915936759906,False
Cobertura Forestal,Riesgo Nutricion,-0.7101218103953855,2.6747261993316923e-34,-0.7604497750654251,8.305441963759379e-42,-0.8013717368585748,1.974311472620741e-49,False
